Class,Accuracy,Precision,Recall,F1_Score,F1_Score_Weighted,Support
moon_cake,0.9807692307692307,0.9902912621359223,0.9807692307692307,0.9855072463768114,0.9271883032233612,104
mozuku,0.9702970297029703,1.0,0.9702970297029703,0.9849246231155778,0.9271883032233612,101
muffin,1.0,0.9824561403508771,1.0,0.9911504424778761,0.9271883032233612,112
mushroom_risotto,0.9824561403508771,0.9911504424778761,0.9824561403508771,0.9867841409691629,0.9271883032233612,114
nachos,0.9807692307692307,0.9444444444444444,0.9807692307692307,0.9622641509433962,0.9271883032233612,104
namero,0.990990990990991,1.0,0.990990990990991,0.9954751131221719,0.9271883032233612,111
nanbanzuke,0.9603960396039604,0.9897959183673469,0.9603960396039604,0.9748743718592964,0.9271883032233612,101
nasi_campur,0.9401709401709402,0.8943089430894309,0.9401709401709402,0.9166666666666666,0.9271883032233612,117
nasi_goreng,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9271883032233612,110
nasi_padang,0.963302752293578,0.8898305084745762,0.963302752293578,0.9251101321585902,0.9271883032233612,109
nasi_uduk,0.9150943396226415,0.9897959183673469,0.9150943396226415,0.9509803921568627,0.9271883032233612,106
natto,0.8551724137931035,0.8985507246376812,0.8551724137931035,0.8763250883392227,0.9271883032233612,145
noodles_with_fish_curry,0.88,0.9565217391304348,0.88,0.9166666666666666,0.9271883032233612,100
oatmeal,0.9914529914529915,0.9666666666666667,0.9914529914529915,0.9789029535864978,0.9271883032233612,117
oden,0.9464285714285714,0.9298245614035088,0.9464285714285714,0.9380530973451328,0.9271883032233612,112
okinawa_soba,1.0,0.9818181818181818,1.0,0.9908256880733944,0.9271883032233612,108
omelet,0.9150943396226415,0.941747572815534,0.9150943396226415,0.9282296650717704,0.9271883032233612,106
omelet_with_fried_rice,0.952,0.9296875,0.952,0.9407114624505929,0.9271883032233612,125
oshiruko,1.0,1.0,1.0,1.0,0.9271883032233612,108
oxtail_soup,0.9747899159663865,0.9914529914529915,0.9747899159663865,0.983050847457627,0.9271883032233612,119
oyster_omelette,0.9901960784313726,0.9805825242718447,0.9901960784313726,0.9853658536585367,0.9271883032233612,102
paella,1.0,0.9545454545454546,1.0,0.9767441860465117,0.9271883032233612,105
pancake,0.9904761904761905,1.0,0.9904761904761905,0.9952153110047847,0.9271883032233612,105
parfait,0.99,1.0,0.99,0.9949748743718593,0.9271883032233612,100
pho,0.9487179487179487,0.9823008849557522,0.9487179487179487,0.9652173913043478,0.9271883032233612,117
pilaf,0.9565217391304348,0.9734513274336283,0.9565217391304348,0.9649122807017544,0.9271883032233612,115
pizza,0.9699248120300752,0.9555555555555556,0.9699248120300752,0.9626865671641791,0.9271883032233612,133
pizza_toast,1.0,0.9719626168224299,1.0,0.985781990521327,0.9271883032233612,104
popcorn,1.0,0.9914529914529915,1.0,0.9957081545064378,0.9271883032233612,116
pork_belly,0.9719626168224299,0.9454545454545454,0.9719626168224299,0.9585253456221198,0.9271883032233612,107
pork_cutlet,0.9902912621359223,0.9714285714285714,0.9902912621359223,0.9807692307692307,0.9271883032233612,103
pork_cutlet_on_rice,0.8266666666666667,0.8794326241134752,0.8266666666666667,0.8522336769759451,0.9271883032233612,150
pork_fillet_cutlet,0.9043478260869565,0.8813559322033898,0.9043478260869565,0.8927038626609441,0.9271883032233612,115
pork_loin_cutlet,0.9652173913043478,0.8604651162790697,0.9652173913043478,0.9098360655737704,0.9271883032233612,115
pork_miso_soup,0.7521367521367521,0.88,0.7521367521367521,0.8110599078341014,0.9271883032233612,117
pork_satay,0.9911504424778761,0.9911504424778761,0.9911504424778761,0.9911504424778761,0.9271883032233612,113
pork_sticky_noodles,0.975,0.9831932773109243,0.975,0.9790794979079498,0.9271883032233612,120
pork_with_lemon,0.96,0.9795918367346939,0.96,0.9696969696969697,0.9271883032233612,100
pot_au_feu,0.9912280701754386,1.0,0.9912280701754386,0.9955947136563876,0.9271883032233612,114
potage,0.9732142857142857,0.9732142857142857,0.9732142857142857,0.9732142857142857,0.9271883032233612,112
potato_salad,0.859375,0.990990990990991,0.859375,0.9205020920502092,0.9271883032233612,128
raisin_bread,0.99,1.0,0.99,0.9949748743718593,0.9271883032233612,100
ramen_noodle,0.9490084985835694,0.8839050131926122,0.9490084985835694,0.9153005464480876,0.9271883032233612,353
rare_cheese_cake,0.9910714285714286,0.9910714285714286,0.9910714285714286,0.9910714285714286,0.9271883032233612,112
rice,0.6316639741518578,0.42872807017543857,0.6316639741518578,0.5107772697583279,0.9271883032233612,619
rice_ball,0.8518518518518519,0.9292929292929293,0.8518518518518519,0.8888888888888888,0.9271883032233612,108
rice_crispy_pork,0.8376068376068376,0.9607843137254902,0.8376068376068376,0.8949771689497716,0.9271883032233612,117
rice_gratin,0.981651376146789,0.9553571428571429,0.981651376146789,0.9683257918552036,0.9271883032233612,109
rice_gruel,0.9827586206896551,1.0,0.9827586206896551,0.9913043478260869,0.9271883032233612,116
rice_vermicelli,0.9405940594059405,0.9895833333333334,0.9405940594059405,0.964467005076142,0.9271883032233612,101
rice_with_roast_duck,0.9719626168224299,0.9369369369369369,0.9719626168224299,0.9541284403669725,0.9271883032233612,107
roast_chicken,0.9636363636363636,1.0,0.9636363636363636,0.9814814814814815,0.9271883032233612,110
roast_duck,0.9827586206896551,0.9743589743589743,0.9827586206896551,0.9785407725321887,0.9271883032233612,116
roll_bread,0.9906542056074766,0.954954954954955,0.9906542056074766,0.9724770642201835,0.9271883032233612,107
salmon_meuniere,0.9423076923076923,0.9514563106796117,0.9423076923076923,0.9468599033816425,0.9271883032233612,104
salt_pepper_fried_shrimp_with_shell,0.9745762711864406,0.9913793103448276,0.9745762711864406,0.982905982905983,0.9271883032233612,118
